name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Pine Lake Park Clubhouse,2223355946498313310,restroom,0,0,0,0,37.735993787219805,-122.48720705541815,200 Crestlake Dr,San Francisco,CA,94132,Pine Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.487207055 37.735993787),4,Sunset/Parkside,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,40,10,7,35,218
Oracle Park,4973141222634535716,restroom,1,0,0,0,37.778694,-122.387639,"Giants Promenade, 24 Willie Mays Plaza",San Francisco,CA,94107,,publicly_accessible,,,Special Events,Outside Seal Plaza,port,POINT (-122.387639 37.778694),6,Mission Bay,2024/10/04 01:51:23 PM,2024/10/10 10:40:59 AM,31,1,10,4,
Drinking Fountain/Cooler,9108482967987892516,drinking_water,1,0,0,0,37.7773695,-122.40646208000001,,San Francisco,CA,,Victoria Manalo Draves Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406462083 37.777369503),6,South of Market,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,32,1,10,34,98
Merced Heights Playground - Drinking Fountain/Cooler,2599167559774870578,drinking_water,1,0,0,0,37.717670209999994,-122.47010351,801 Shields St,San Francisco,CA,94132,Merced Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.470103507 37.717670212),11,Oceanview/Merced/Ingleside,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,65,10,1,24,138
Washington Square - Drinking Fountain/Cooler,2932039806164345859,drinking_water,1,1,0,0,37.80103016,-122.41062974,600 Columbus Ave,San Francisco,CA,94133,Washington Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.410629743 37.801030161),3,North Beach,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,106,6,3,23,94
Mens Bathroom,5336850396317708804,restroom,0,0,0,0,37.770445860001146,-122.46944607610232,,San Francisco,CA,94118,Golden Gate Park - Section 2,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.469446076 37.77044586),7,Golden Gate Park,2024/08/21 02:15:01 PM,2024/10/10 10:40:59 AM,9,8,4,12,235
Youngblood Coleman Restrooms,19246328287066793,restroom,0,0,0,0,37.73921038144877,-122.3857311173451,1398 Hudson Ave,San Francisco,CA,94124,Youngblood-Coleman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.385731117 37.739210381),10,Bayview Hunters Point,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,86,2,9,1,224
Douglass Dog Play Area Drinking Fountain,1554883251294046215,drinking_water,1,0,0,0,37.74642884,-122.43829271999999,,San Francisco,CA,,Douglass Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438292718 37.746428844),8,Noe Valley,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,57,3,5,22,206
Adam Rodgers Park - Drinking fountain,6195742171510388323,drinking_water,1,0,0,0,37.73083874,-122.38377727000001,1215 Quesada Ave,San Francisco,CA,94124,Adam Rodgers Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.383777267 37.730838741),10,Bayview Hunters Point,2024/10/01 05:06:30 PM,2024/10/10 10:40:59 AM,86,2,9,1,146
Camp Mather - Drinking fountain,6895561022529716640,drinking_water,1,0,0,0,37.879441379999996,-119.8540079,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.854007906 37.879441332),,,2024/08/19 09:47:28 AM,2024/10/10 10:40:59 AM,,,,,50
Goldman Restrooms,5975078172278772254,restroom,0,0,0,0,37.73559816229882,-122.478895784974,2899 19th Ave,San Francisco,CA,94132,Sigmund Stern Recreation Grove,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.478895785 37.735598162),4,Sunset/Parkside,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,40,10,7,35,112
Ferry Building,7030273931982775170,drinking_water,1,1,0,0,37.79542,-122.39363,1 Ferry Building,San Francisco,CA,94111,,limited_access,07:00:00,22:00:00,Daily,2 by the public bathrooms,port,POINT (-122.39363 37.79542),3,Financial District/South Beach,2024/10/04 01:51:23 PM,2024/10/10 10:40:59 AM,108,6,3,8,
Lake Merced Boathouse,4000040349104825380,restroom,0,0,0,0,37.72547563901899,-122.49936477572166,1 Harding Rd,San Francisco,CA,94132,Lake Merced Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.499364776 37.725475639),7,Lakeshore,2024/08/21 02:15:01 PM,2024/10/10 10:40:59 AM,43,10,8,16,2
Park Aid Station,2135114861101079118,restroom,0,0,0,0,37.76698914381392,-122.45335127496453,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.453351275 37.766989144),5,Golden Gate Park,2024/08/21 02:15:01 PM,2024/10/10 10:40:59 AM,9,7,11,12,229
